experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,response_bbox_center_x,response_bbox_center_y,response_bbox_center_z,tar_error_bbox,tar_error_bbox_x,tar_error_bbox_y,tar_error_bbox_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Kitchen_cube,13,4,11,1,11,224.8711,242.8749,10,K01,K01_L19,cube,0,0,0,270,Kettle,228.5029,271.1667,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,229.0138,231.1577,233.1677,241.8532,-1.804395,0.880622,-1.20348,358.708,1.863741,5.884686,0.019431,0.011133,-0.003798,-0.015466,-1.809555,0.930346,-1.204434,0.096034,0.027385,-0.08515,-0.034957,49.58394,-0.734497,-49.33819,-354.0403,-0.696504,1.433064,-0.870985,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T011.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T011.csv
Pilot_Kitchen_cube,13,4,12,1,12,243.8855,263.6663,6,K01,K01_L07,cube,0,0,0,270,Espresso Machine,248.4281,270.7137,coffeemaker,-1.82445,0.880285,-0.854397,358.1284,90.56697,358.8811,-1.764189,1.051043,-0.853803,0.345148,0.352667,0.277094,248.9391,252.582,254.5925,262.6445,-1.794246,0.893092,-0.858559,358.8717,1.610658,2.232639,0.03307,0.030204,0.012807,-0.004162,-1.796221,0.943044,-0.859488,0.112792,-0.032032,-0.107998,-0.005685,88.92095,0.743347,-88.95631,-356.6485,-1.084234,1.443494,-0.691322,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T012.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T012.csv
Pilot_Kitchen_cube,13,4,13,1,13,264.6771,283.1364,3,K01,K01_L16,cube,0,0,0,90,Flowers,267.8646,86.54709,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,268.3756,270.3194,272.3295,282.1144,1.091867,0.892674,0.814789,358.6026,359.2035,355.787,0.038288,0.021918,0.024677,-0.019407,1.095556,0.942524,0.813624,0.15068,0.02317,-0.147187,-0.022439,111.7783,358.1401,248.2811,-2.924957,0.515784,1.472565,0.499876,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T013.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T013.csv
Pilot_Kitchen_cube,13,4,14,1,14,284.147,298.1523,9,K01,K01_L12,cube,0,0,0,0,Banana,288.4229,2.687958,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,288.9338,290.1112,292.1214,297.1306,0.082361,0.89356,1.180601,0.154234,2.991605,1.23899,0.036335,0.031969,-0.014537,0.009321,0.081288,0.943548,1.180791,0.055095,0.041379,0.036227,0.003307,106.4353,-276.0472,-162.8501,-146.2419,0.026602,1.486536,0.168314,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T014.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T014.csv
Pilot_Kitchen_cube,13,4,15,1,15,299.163,320.3877,3,K01,K01_L16,cube,0,0,0,90,Flowers,306.7711,88.24722,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,307.2719,310.1253,312.1356,319.366,1.070174,0.904074,0.823756,356.4664,1.011716,352.5852,0.037558,0.000225,0.036077,-0.01044,1.076571,0.953562,0.820586,0.13709,0.004185,-0.136149,-0.015477,110.2381,356.0039,-109.9107,-6.126801,0.606171,1.446101,0.576242,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T015.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T015.csv
Pilot_Kitchen_cube,13,4,16,1,16,321.3985,346.3105,1,K01,K01_L05,cube,0,0,0,180,Plant,330.4168,180.1483,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,330.9278,333.0604,335.0706,345.2887,0.745728,0.002454,-1.484755,358.893,358.8558,357.7123,0.013264,0.004779,-0.008543,-0.00895,0.747743,0.052405,-1.48568,0.447256,0.058144,-0.442533,0.028668,117.6253,1.885864,242.3392,1.400452,0.486896,1.342308,-1.036932,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T016.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T016.csv
Pilot_Kitchen_cube,13,4,17,1,17,347.3212,364.3142,8,K01,K01_L13,cube,0,0,0,0,Cutting Board,352.4413,358.5755,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,352.9522,355.4068,357.4172,363.2924,-1.427753,0.889291,1.215956,2.239853,358.8646,356.4075,0.02167,0.009807,-0.002534,0.019157,-1.424659,0.939155,1.217968,0.040348,0.012228,0.03235,0.020782,90.8325,-270.7242,298.7745,56.33249,-0.959025,1.489881,0.709651,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T017.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T017.csv
Pilot_Kitchen_cube,13,4,18,1,18,365.3251,383.3289,7,K01,K01_L15,cube,0,0,0,270,Water Bottle,371.0115,270.6149,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,371.5224,373.5883,375.5985,382.307,-1.398225,0.882892,-1.159801,0.728091,3.188925,6.988653,0.072268,-0.006174,-0.000205,0.072004,-1.404264,0.932517,-1.158833,0.088742,-0.00342,-0.051952,0.071864,163.9368,0.211572,-196.0154,-351.5446,-0.620146,1.432814,-0.702046,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T018.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T018.csv
Pilot_Kitchen_cube,13,4,19,1,19,384.3394,401.8212,2,K01,K01_L25,cube,0,0,0,90,Painting,387.2383,89.82605,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,387.7491,389.5485,391.5587,400.7994,1.859242,1.705401,0.394165,358.5918,1.236459,0.834046,0.251546,-0.011707,0.234911,0.089191,1.858488,1.755381,0.392952,0.098042,0.000559,-0.091067,0.036315,91.25814,358.5918,-268.7635,0.834046,0.912359,1.540188,0.325029,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T019.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T019.csv
Pilot_Kitchen_cube,13,4,20,1,20,402.832,419.8362,6,K01,K01_L07,cube,0,0,0,270,Espresso Machine,406.3415,266.3319,coffeemaker,-1.82445,0.880285,-0.854397,358.1284,90.56697,358.8811,-1.764189,1.051043,-0.853803,0.345148,0.352667,0.277094,406.8525,409.4847,411.4951,418.8143,-1.738504,0.896347,-0.8825,0.264184,0.776252,2.801703,0.091839,0.085946,0.016062,-0.028103,-1.740945,0.946287,-0.882237,0.111007,0.023244,-0.104756,-0.028434,89.82299,-357.8642,-89.79072,-356.0794,-0.736992,1.46984,-0.619322,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T020.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T020.csv
