experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Office_stick,7,1,11,1,11,676.1988,689.0158,7,O02,O02_L18,stick,0,0,0,180,Helicopter,680.8747,180.4808,helicopter,0.582935,0.518954,-1.327039,0,339.398,0,0.527807,0.624263,-1.343417,0.599171,0.211206,0.5392,681.3856,683.8958,685.9061,687.9941,0.619761,0.517121,-1.278565,51.14944,131.501,103.803,0.060904,0.036826,-0.001833,0.048474,124.7272,51.14944,-207.897,103.803,0.564747,1.175258,-0.831533,Pilot_Office_stick/7/S001/trackers/VR_move_T011.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T011.csv
Pilot_Office_stick,7,1,12,1,12,690.0267,706.32,9,O02,O02_L05,stick,0,0,0,0,Telephone,697.168,4.862292,landline,-0.743321,0.696754,1.575369,0,211.359,0,-0.740645,0.79142,1.579673,0.272401,0.189332,0.235766,697.6691,701.1,703.1103,705.2982,-0.731692,0.693828,1.548415,43.24341,304.7591,109.0296,0.029501,0.011629,-0.002926,-0.026954,107.9045,43.24341,93.4001,109.0296,-0.547109,1.303466,0.973082,Pilot_Office_stick/7/S001/trackers/VR_move_T012.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T012.csv
Pilot_Office_stick,7,1,13,1,13,707.3307,720.5143,3,O02,O02_L01,stick,0,0,0,180,Sushi,710.6182,182.3615,sushi,0.024424,0.523493,-1.377002,359.1866,216.5073,358.2385,0.023787,0.554909,-1.37584,0.503964,0.185142,0.504825,711.1292,714.6167,716.627,719.4925,0.041674,0.524724,-1.33446,59.66428,151.5116,123.4501,0.045923,0.01725,0.001231,0.042542,168.4174,-299.5223,-64.99568,-234.7884,0.172346,1.187784,-0.930385,Pilot_Office_stick/7/S001/trackers/VR_move_T013.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T013.csv
Pilot_Office_stick,7,1,14,1,14,721.5251,735.2083,7,O02,O02_L18,stick,0,0,0,180,Helicopter,726.945,179.9125,helicopter,0.582935,0.518954,-1.327039,0,339.398,0,0.527807,0.624263,-1.343417,0.599171,0.211206,0.5392,727.4559,729.655,731.6653,734.1864,0.606869,0.524328,-1.269775,64.89417,123.9679,121.549,0.062296,0.023934,0.005374,0.057264,110.305,64.89417,-215.4301,121.549,0.541843,1.201777,-0.792691,Pilot_Office_stick/7/S001/trackers/VR_move_T014.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T014.csv
Pilot_Office_stick,7,1,15,1,15,736.2189,758.8875,7,O02,O02_L18,stick,0,0,0,180,Helicopter,751.0142,181.6842,helicopter,0.582935,0.518954,-1.327039,0,339.398,0,0.527807,0.624263,-1.343417,0.599171,0.211206,0.5392,751.5238,753.2123,755.2225,757.8657,0.599957,0.52074,-1.276282,49.13518,131.0196,92.89343,0.053565,0.017022,0.001786,0.050757,127.0593,49.13518,-208.3784,92.89343,0.544272,1.248338,-0.834791,Pilot_Office_stick/7/S001/trackers/VR_move_T015.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T015.csv
Pilot_Office_stick,7,1,16,1,16,759.8983,769.6498,5,O02,O02_L11,stick,0,0,0,270,Cookies,762.7637,273.3772,cookies,-1.527065,0.775583,0.496761,0,36.522,0,-1.527065,0.793719,0.496761,0.274797,0.07267,0.274796,763.2747,764.6299,766.6402,768.6282,-1.514938,0.78939,0.480633,48.88338,253.9232,132.6863,0.02445,0.012126,0.013807,-0.016128,152.0068,48.88338,217.4012,132.6863,-0.983675,1.358193,0.216374,Pilot_Office_stick/7/S001/trackers/VR_move_T016.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T016.csv
Pilot_Office_stick,7,1,17,1,17,770.6606,790.8524,1,O02,O02_L26,stick,0,0,0,180,Footstool,776.225,182.1722,cushion,1.038984,0.001137,-0.711692,1.254726,143.4689,0.540435,1.041459,0.121186,-0.71313,0.77365,0.257415,0.774065,776.736,783.8885,785.8989,789.8305,1.007089,0.011096,-0.697355,63.87859,96.68636,76.75167,0.036359,-0.031895,0.009959,0.014337,121.9569,62.62387,-46.78255,76.21124,0.870617,0.793894,-0.496391,Pilot_Office_stick/7/S001/trackers/VR_move_T017.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T017.csv
Pilot_Office_stick,7,1,18,1,18,791.863,806.9348,4,O02,O02_L09,stick,0,0,0,90,Flowers,798.7271,95.11715,flowers,1.650739,0.758584,0.010883,359.0852,152.7474,2.739967,1.662761,1.086827,-0.027271,0.470968,0.663228,0.589821,799.2379,801.3483,803.3585,805.9129,1.665305,0.740346,0.033039,42.68049,71.67782,113.492,0.032182,0.014567,-0.018238,0.022156,155.7181,-316.4048,-81.06959,110.752,1.131027,1.322671,0.170295,Pilot_Office_stick/7/S001/trackers/VR_move_T018.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T018.csv
Pilot_Office_stick,7,1,19,1,19,807.9455,819.1409,8,O02,O02_L15,stick,0,0,0,90,Clock,810.6443,91.53558,tableclock,1.717249,0.741288,-0.381913,356.9992,269.6479,0.111573,1.697608,0.916266,-0.380892,0.237385,0.358919,0.224152,811.1553,814.0541,816.0645,818.1191,1.66231,0.752793,-0.385413,46.27057,80.50873,114.6701,0.056241,-0.05494,0.011505,-0.0035,139.2279,-310.7286,-189.1392,114.5585,1.104217,1.345625,-0.16627,Pilot_Office_stick/7/S001/trackers/VR_move_T019.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T019.csv
Pilot_Office_stick,7,1,20,1,20,820.1516,832.1023,2,O02,O02_L23,stick,0,0,0,270,Globe,823.6392,273.1125,globe,-1.690767,0.952719,-1.18695,272.2737,97.45389,325.6657,-1.690357,1.158456,-1.180549,0.386225,0.426065,0.381431,824.15,826.4273,828.4373,831.0807,-1.686462,0.950588,-1.190271,26.72903,213.759,123.5389,0.00584,0.004305,-0.002131,-0.003322,136.7794,-245.5446,116.3051,-202.1269,-1.053426,1.380779,-0.909818,Pilot_Office_stick/7/S001/trackers/VR_move_T020.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T020.csv
