experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,response_bbox_center_x,response_bbox_center_y,response_bbox_center_z,tar_error_bbox,tar_error_bbox_x,tar_error_bbox_y,tar_error_bbox_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Kitchen_object,21,2,11,1,11,273.581,291.7847,7,K01,K01_L15,object,0,0,0,270,Water Bottle,277.0907,270.8555,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,277.6016,282.5219,284.5323,290.763,-1.337865,0.886073,-1.251098,2.24269,150.3907,355.5818,0.057595,0.054186,0.002976,-0.019293,-1.347521,0.986763,-1.262194,0.061974,0.053324,0.002294,-0.031497,48.85489,1.726171,-48.81357,-2.951447,-0.866689,1.496992,-0.841297,Pilot_Kitchen_object/21/S002/trackers/VR_move_T011.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T011.csv
Pilot_Kitchen_object,21,2,12,1,12,292.7955,311.8101,8,K01,K01_L13,object,0,0,0,0,Cutting Board,295.5721,1.835683,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,296.0829,297.9823,299.9926,310.7882,-1.418799,0.892257,1.195979,274.1177,58.87624,300.9504,0.018784,0.018761,0.000432,-0.000821,-1.417877,0.907218,1.196535,0.019026,0.01901,0.000414,-0.000651,1.202668,1.153717,-1.213837,0.875366,-1.059294,1.471411,0.798327,Pilot_Kitchen_object/21/S002/trackers/VR_move_T012.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T012.csv
Pilot_Kitchen_object,21,2,13,1,13,312.8206,326.0043,9,K01,K01_L12,object,0,0,0,0,Banana,315.0309,356.6991,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,315.5419,316.9413,318.9517,324.9825,0.057922,0.911264,1.165705,277.5787,171.7252,195.8379,0.00989,0.00753,0.003167,-0.005574,0.056728,0.911174,1.177852,0.017258,0.016819,0.003852,0.000368,54.21884,1.377258,5.883469,48.35701,-0.049846,1.475631,0.624156,Pilot_Kitchen_object/21/S002/trackers/VR_move_T013.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T013.csv
Pilot_Kitchen_object,21,2,14,1,14,327.015,347.007,2,K01,K01_L25,object,0,0,0,90,Painting,329.514,96.27292,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,330.0248,334.4009,336.4115,345.9851,1.879261,1.431683,0.504213,2.739269,271.382,1.403883,0.203154,0.008312,-0.038807,0.19924,1.85037,1.807918,0.547296,0.194661,-0.007559,-0.03853,0.19066,3.359859,2.739269,1.381958,1.403883,0.608974,1.572097,0.267479,Pilot_Kitchen_object/21/S002/trackers/VR_move_T014.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T014.csv
Pilot_Kitchen_object,21,2,15,1,15,348.0176,361.8898,9,K01,K01_L12,object,0,0,0,0,Banana,350.9831,3.354253,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,351.494,352.7047,354.7047,360.868,0.072228,0.894188,1.182361,275.0617,258.8595,41.40014,0.028162,0.021836,-0.01391,0.011081,0.060863,0.891557,1.185954,0.027556,0.020954,-0.015765,0.008469,15.64792,-1.139679,93.01776,-106.0808,0.017333,1.495807,0.83485,Pilot_Kitchen_object/21/S002/trackers/VR_move_T015.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T015.csv
Pilot_Kitchen_object,21,2,16,1,16,362.9005,377.5391,7,K01,K01_L15,object,0,0,0,270,Water Bottle,366.3991,274.0155,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,366.9099,368.476,370.4865,376.5186,-1.31881,0.87695,-1.194894,356.4358,170.4186,356.4949,0.082246,0.073241,-0.006147,0.03691,-1.331798,0.977825,-1.191662,0.079594,0.069046,-0.006644,0.039035,29.1907,355.9193,-28.78564,-2.03833,-0.798416,1.478812,-0.739801,Pilot_Kitchen_object/21/S002/trackers/VR_move_T016.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T016.csv
Pilot_Kitchen_object,21,2,17,1,17,378.5497,404.3729,1,K01,K01_L05,object,0,0,0,180,Plant,383.6367,182.6904,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,384.1475,386.8464,388.8567,403.3508,0.688619,-0.015603,-1.471364,359.2715,86.68654,359.1649,0.05887,-0.05233,-0.0266,0.004441,0.686914,0.458116,-1.496588,0.040969,-0.002684,-0.036821,0.017761,29.95445,2.264374,-29.83006,2.853058,0.556817,1.393062,-0.911853,Pilot_Kitchen_object/21/S002/trackers/VR_move_T017.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T017.csv
Pilot_Kitchen_object,21,2,18,1,18,405.3834,422.0322,1,K01,K01_L05,object,0,0,0,180,Plant,408.1934,182.1551,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,408.6937,411.9585,413.9691,421.0104,0.689736,-0.01124,-1.4119,358.6266,103.4516,355.4368,0.084859,-0.051212,-0.022238,0.063905,0.663959,0.469704,-1.474938,0.05336,-0.025639,-0.025234,0.03941,13.22627,1.619507,-13.06495,-0.875,0.429677,1.466448,-0.793388,Pilot_Kitchen_object/21/S002/trackers/VR_move_T018.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T018.csv
Pilot_Kitchen_object,21,2,19,1,19,423.0429,437.2927,10,K01,K01_L19,object,0,0,0,270,Kettle,424.8755,273.9041,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,425.3864,426.486,428.4963,436.271,-1.854889,0.891691,-1.220097,4.10439,61.11604,2.379137,0.051298,-0.039361,0.007271,-0.032083,-1.865687,1.022243,-1.187323,0.034502,-0.028747,0.006748,-0.017846,11.15652,-355.3381,9.914116,-357.5458,-0.78597,1.529358,-0.847419,Pilot_Kitchen_object/21/S002/trackers/VR_move_T019.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T019.csv
Pilot_Kitchen_object,21,2,20,1,20,438.3034,457.2181,3,K01,K01_L16,object,0,0,0,90,Flowers,442.0797,91.66555,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,442.5906,444.09,446.1002,456.1963,1.107992,0.889915,0.745196,359.1833,82.75336,358.3311,0.09924,0.038043,0.021918,-0.089,1.10458,1.111207,0.745927,0.098098,0.032194,0.021495,-0.090137,28.20113,358.7208,-28.16902,-0.380951,0.431094,1.505105,0.475376,Pilot_Kitchen_object/21/S002/trackers/VR_move_T020.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T020.csv
Pilot_Kitchen_object,21,2,21,1,21,458.2287,473.3781,8,K01,K01_L13,object,0,0,0,0,Cutting Board,460.9942,4.560157,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,461.5051,463.4155,465.4258,472.3564,-1.412665,0.888341,1.206715,272.379,19.00507,339.9717,0.027022,0.024894,-0.003484,0.009916,-1.412462,0.903328,1.207304,0.026665,0.024425,-0.003477,0.010118,2.264575,-0.584992,-41.08501,39.8967,-1.081571,1.471552,0.810403,Pilot_Kitchen_object/21/S002/trackers/VR_move_T021.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T021.csv
Pilot_Kitchen_object,21,2,22,1,22,474.3889,491.382,1,K01,K01_L05,object,0,0,0,180,Plant,479.1869,180.7188,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,479.6978,482.319,484.3295,490.3602,0.780602,-0.021124,-1.478344,358.8328,105.6369,353.2946,0.051094,0.039654,-0.032121,-0.00254,0.748232,0.46151,-1.56425,0.083937,0.058634,-0.033428,-0.049901,11.53898,1.825623,-10.87972,-3.017273,0.663542,1.405881,-0.940957,Pilot_Kitchen_object/21/S002/trackers/VR_move_T022.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T022.csv
Pilot_Kitchen_object,21,2,23,1,23,492.3927,508.464,4,K01,K01_L09,object,0,0,0,90,Plate,496.3355,92.92769,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,496.8463,498.0905,500.1006,507.4421,1.314786,0.871854,0.442473,1.477048,177.0522,1.898907,0.034637,-0.032163,-0.011957,-0.004722,1.345371,0.884911,0.461554,0.033951,-0.031351,-0.011734,-0.005664,1.161618,0.327092,1.107361,-0.115482,0.898922,1.479722,0.27363,Pilot_Kitchen_object/21/S002/trackers/VR_move_T023.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T023.csv
Pilot_Kitchen_object,21,2,24,1,24,509.4746,526.3345,10,K01,K01_L19,object,0,0,0,270,Kettle,514.6947,268.6525,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,515.2055,516.4942,518.5046,525.3128,-1.845016,0.889122,-1.20722,359.1811,42.87788,359.6826,0.035504,-0.029489,0.004701,-0.019206,-1.868888,1.020297,-1.192862,0.039882,-0.031948,0.004802,-0.023385,8.334501,-0.261414,-8.324043,-0.242371,-1.18275,1.489739,-0.926488,Pilot_Kitchen_object/21/S002/trackers/VR_move_T024.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T024.csv
Pilot_Kitchen_object,21,2,25,1,25,527.3453,549.2141,6,K01,K01_L07,object,0,0,0,270,Espresso Machine,534.4424,272.8252,coffeemaker,-1.82445,0.880285,-0.854397,358.1284,90.56697,358.8811,-1.764189,1.051043,-0.853803,0.345148,0.352667,0.277094,534.9534,536.8082,538.8185,548.1924,-1.840771,0.868339,-0.846367,354.8358,89.43252,359.0735,0.021762,-0.016321,-0.011945,0.008031,-1.790495,1.039867,-0.844905,0.029935,-0.026306,-0.011176,0.008899,3.483624,-3.292633,-1.134453,0.192352,-1.146861,1.489231,-0.719208,Pilot_Kitchen_object/21/S002/trackers/VR_move_T025.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T025.csv
Pilot_Kitchen_object,21,2,26,1,26,550.225,567.4735,4,K01,K01_L09,object,0,0,0,90,Plate,553.2571,90.63018,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,553.7679,555.4116,557.4222,566.4517,1.256449,0.87949,0.446264,3.622329,174.5297,2.163671,0.090607,-0.0905,-0.004322,-0.000931,1.285196,0.893196,0.466705,0.091593,-0.091527,-0.003449,-0.000513,2.855318,2.472373,-1.415146,0.149282,0.746212,1.513018,0.492321,Pilot_Kitchen_object/21/S002/trackers/VR_move_T026.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T026.csv
Pilot_Kitchen_object,21,2,27,1,27,568.4842,584.8554,9,K01,K01_L12,object,0,0,0,0,Banana,571.4275,3.016287,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,571.9383,576.2033,578.2137,583.8336,0.067391,0.894434,1.190668,275.9558,263.6641,35.36822,0.029182,0.016999,-0.013663,0.019389,0.056,0.891584,1.194002,0.027918,0.016091,-0.015737,0.016517,17.2295,-0.245606,97.82233,-112.1127,0.034991,1.497654,0.849128,Pilot_Kitchen_object/21/S002/trackers/VR_move_T027.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T027.csv
Pilot_Kitchen_object,21,2,28,1,28,585.866,600.7045,4,K01,K01_L09,object,0,0,0,90,Plate,589.7089,91.91298,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,590.22,591.6416,593.652,599.6828,1.271683,0.877657,0.442852,3.146001,178.5435,1.690246,0.075642,-0.075266,-0.006155,-0.004343,1.303339,0.891546,0.460312,0.073884,-0.073383,-0.005099,-0.006906,3.30181,1.996045,2.598602,-0.324143,0.704478,1.513695,0.396756,Pilot_Kitchen_object/21/S002/trackers/VR_move_T028.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T028.csv
Pilot_Kitchen_object,21,2,29,1,29,601.7152,617.6309,6,K01,K01_L07,object,0,0,0,270,Espresso Machine,604.9916,270.012,coffeemaker,-1.82445,0.880285,-0.854397,358.1284,90.56697,358.8811,-1.764189,1.051043,-0.853803,0.345148,0.352667,0.277094,605.5024,607.424,609.4344,616.6094,-1.851708,0.866239,-0.830866,356.7218,88.26114,0.421887,0.038652,-0.027258,-0.014046,0.023531,-1.795875,1.037322,-0.824941,0.045003,-0.031686,-0.013721,0.028862,3.057598,-1.406586,-2.305832,-358.4593,-0.82649,1.511412,-0.48265,Pilot_Kitchen_object/21/S002/trackers/VR_move_T029.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T029.csv
Pilot_Kitchen_object,21,2,30,1,30,618.6418,637.2675,5,K01,K01_L04,object,0,0,0,0,Breadbasket,622.6069,358.8319,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,623.1177,627.7936,629.8039,636.2458,-1.085707,0.863326,1.212019,1.028539,30.67017,4.69945,0.030626,0.001344,-0.020471,0.022739,-1.089171,0.929125,1.216686,0.033492,-0.000188,-0.021195,0.025932,37.18992,0.425499,-37.01434,3.144286,-0.793171,1.488535,0.674944,Pilot_Kitchen_object/21/S002/trackers/VR_move_T030.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T030.csv
Pilot_Kitchen_object,21,2,31,1,31,638.2783,658.1036,2,K01,K01_L25,object,0,0,0,90,Painting,641.0996,92.26665,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,641.6103,644.1425,646.1531,657.0817,1.879694,1.52145,0.424631,2.228859,269.3304,0.000042,0.130351,0.008745,0.05096,0.119657,1.852248,1.896761,0.476011,0.129669,-0.00568,0.050314,0.119374,2.326632,2.228859,-0.669617,0.000042,0.871757,1.578934,0.125857,Pilot_Kitchen_object/21/S002/trackers/VR_move_T031.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T031.csv
Pilot_Kitchen_object,21,2,32,1,32,659.1142,698.6982,2,K01,K01_L25,object,0,0,0,90,Painting,666.8112,92.97787,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,667.322,669.0325,671.043,697.6765,1.883481,1.55246,0.422366,2.049522,270.5063,0.046044,0.143726,0.012532,0.08197,0.117393,1.858173,1.927885,0.473927,0.14279,0.000244,0.081438,0.11729,2.111094,2.049522,0.506256,0.046044,1.130533,1.577196,0.083161,Pilot_Kitchen_object/21/S002/trackers/VR_move_T032.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T032.csv
Pilot_Kitchen_object,21,2,33,1,33,699.709,713.1258,3,K01,K01_L16,object,0,0,0,90,Flowers,702.9521,92.06529,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,703.4631,704.8405,706.8506,712.1039,1.100289,0.884419,0.88913,0.848281,73.25553,355.6096,0.064869,0.03034,0.016422,0.054935,1.105914,1.107886,0.881141,0.059047,0.033528,0.018175,0.045078,37.75625,0.38578,-37.66685,-3.102356,0.600211,1.554961,0.408707,Pilot_Kitchen_object/21/S002/trackers/VR_move_T033.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T033.csv
Pilot_Kitchen_object,21,2,34,1,34,714.1367,735.9054,8,K01,K01_L13,object,0,0,0,0,Cutting Board,717.7905,4.288533,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,718.3024,719.3456,721.356,734.8837,-1.421467,0.887916,1.218708,275.3163,55.99985,303.4587,0.027463,0.016092,-0.003909,0.021908,-1.420315,0.902851,1.219485,0.028062,0.016572,-0.003953,0.022299,2.46896,2.352295,-4.090229,3.383667,-1.151809,1.469044,0.700728,Pilot_Kitchen_object/21/S002/trackers/VR_move_T034.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T034.csv
Pilot_Kitchen_object,21,2,35,1,35,736.9163,750.533,7,K01,K01_L15,object,0,0,0,270,Water Bottle,741.1478,273.8766,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,741.6588,742.6139,744.6242,749.5112,-1.338016,0.883402,-1.247341,358.0648,154.0469,355.5687,0.056226,0.054036,0.000305,-0.015537,-1.351596,0.984176,-1.251202,0.053348,0.049249,-0.000293,-0.020505,45.34893,357.5483,-45.15736,-2.9646,-1.032957,1.48428,-0.997544,Pilot_Kitchen_object/21/S002/trackers/VR_move_T035.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T035.csv
Pilot_Kitchen_object,21,2,36,1,36,751.5437,770.547,6,K01,K01_L07,object,0,0,0,270,Espresso Machine,757.1301,270.1116,coffeemaker,-1.82445,0.880285,-0.854397,358.1284,90.56697,358.8811,-1.764189,1.051043,-0.853803,0.345148,0.352667,0.277094,757.6411,759.274,761.2842,769.5255,-1.851029,0.874805,-0.866163,357.8748,90.38844,358.758,0.029579,-0.026579,-0.00548,-0.011766,-1.791523,1.045646,-0.865905,0.030376,-0.027334,-0.005397,-0.012102,0.333378,-0.253601,-0.178536,-0.123169,-1.223478,1.484456,-0.851936,Pilot_Kitchen_object/21/S002/trackers/VR_move_T036.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T036.csv
Pilot_Kitchen_object,21,2,37,1,37,771.5578,794.7374,8,K01,K01_L13,object,0,0,0,0,Cutting Board,779.077,2.284328,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,779.5878,780.6542,782.6646,793.7157,-1.395967,0.901935,1.205726,272.7819,343.11,13.29136,0.043724,0.041592,0.010111,0.008927,-1.396179,0.916918,1.206422,0.042951,0.040708,0.010113,0.009236,5.142014,-0.182129,283.0199,-286.7837,-0.427202,1.524894,0.120958,Pilot_Kitchen_object/21/S002/trackers/VR_move_T037.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T037.csv
