ppid	response_mode	session_num	trial_num	block_num	trial_num_in_block	start_time	end_time	trial_no	shift_x	shift_y	shift_z	view_rotation	t_starting_pos	standing_y_rotation	target_pos_x	target_pos_y	target_pos_z	target_euler_x	target_euler_y	target_euler_z	target_bbox_center_x	target_bbox_center_y	target_bbox_center_z	target_bbox_size_x	target_bbox_size_y	target_bbox_size_z	t_scene_preview_start	t_scene_preview_end	t_response_start	t_response_end	response_pos_x_pivot	response_pos_y_pivot	response_pos_z_pivot	response_euler_x	response_euler_y	response_euler_z	tar_error_pos	tar_error_pos_x	tar_error_pos_y	tar_error_pos_z	tar_error_angle	tar_error_euler_x	tar_error_euler_y	tar_error_euler_z	standing_pos_x	standing_pos_y	standing_pos_z	trial_valid	response_bbox_center_x	response_bbox_center_y	response_bbox_center_z	tar_error_bbox	tar_error_bbox_x	tar_error_bbox_y	tar_error_bbox_z	response_duration	tar_error_surf	drop_count	last_drop_time	last_drop_x	last_drop_z	drop1_err_pos	drop2_err_pos	drop3_err_pos	drop4_err_pos	move_dist	tar_error_right_left	tar_error_away_toward
7	fixed	1	14.194132740513563	0.0	14.194132740513563	264.56064415207237	262.61168349803086	2.916616007665427	0.0	0.0	0.0	88.04390224998126	265.0841457778193	87.20060387689556	1.3841248854401393	0.2699061863293638	0.8714116747207136	173.62182733262597	87.30236215860798	162.7345931101412	1.3676257511399283	0.310035514458441	0.8824268477882116	0.1577936624480048	0.19466971060959304	0.176445990696006	265.0843725834311	262.8183626216911	262.8183734014968	262.6118863181942	1.3678247047181218	0.2662204987915119	0.8543878686144164	11.500870706785571	80.56553507646389	22.890933028269703	0.02156105704749466	0.02986474537116737	0.008688743182518133	0.028203630574343167	18.740249997963364	176.2884160340534	143.07591735732782	163.83702097549087	0.9650775089875725	0.17414701432706647	0.5766485578098032	0.0								0.7018187809248584	0.021902418776733493	0.0								0.14809735835944668	0.026545310034639006	0.0210017607988588
7	laser	4	14.577379737113251	0.0	14.577379737113251	173.5049078261679	173.02585725722662	2.901442287369986	0.0	0.0	0.0	90.91372900969897	173.49262598188818	89.52303461192595	1.3702213668293732	0.2648225478788791	0.9041732251359215	173.63505592242436	87.77024919961913	160.83072695618858	1.3543458855517028	0.30367937977641446	0.9141494236705194	0.15883247029833486	0.19479089611327388	0.1779823129534081	173.32012649710586	173.2927043456285	173.29264028785997	173.02608565239598	1.3551444513472237	0.26267919596182837	0.8810697496840477	0.0	0.0	0.0	0.021540761089731672	0.026200137255786293	0.007199086884417201	0.032533161305821665	44.686584015029965	173.63505592242436	87.77024919961913	160.83072695618858	0.7045995427185344	0.027600385455723065	0.44498245852669205	0.0								1.4615703018845936	0.022319422534465463	0.0								0.3461951241404894	0.016423617827099248	0.025273028361097055
7	object	3	14.852242341279734	0.0	14.852242341279734	343.282048540357	341.20765781825446	2.855494029733936	0.0	0.0	0.0	91.03253856134671	342.23337077445893	91.0351693853792	1.3711041790089968	0.24005025348511233	0.9203142561937604	174.13114639351554	87.35479812725214	165.14808587720304	1.357274888438207	0.2873783790032282	0.9298051797593777	0.1506920529125966	0.20199857278482222	0.17253002947167614	342.0383545306676	341.0798652760342	341.0798596558749	341.20809295690555	1.3672880086432844	0.24096569459644282	0.9097077454492101	170.32819996523506	85.35013166802838	165.25941070709732	0.012242532309272854	0.01567138799499724	0.010263908600946801	0.01614428382429394	4.999674118804049	248.11492600062547	24.830039461464928	213.00569332567878	0.1379002804362166	0.015621677220353809	0.10913380640718308	0.0	1.351796218336636	0.28805697311757766	0.918916067701494	0.015446996664172255	0.02094724665303172	0.010647713317740806	0.016576205478381907	2.320180936639117	0.01224881649084023	0.6222374845503018	340.6717486913788	0.9529353798596437	0.6516057877766654					0.7563744625560046	0.01293495355663017	0.015419050538712965
8	cube	1	14.291729989727997	0.0	14.291729989727997	268.4181070553948	266.0266939282302	2.862000366752384	0.0	0.0	0.0	92.8279121632914	268.0122849752787	92.3814030172022	1.3855163157199069	0.2507595567349307	0.9076625624667933	173.3923256553137	89.26303204431365	159.24171657608238	1.369215464859762	0.28989270315748455	0.9178094883827803	0.1548285660164568	0.1977494665327543	0.1756228922884049	268.0120621735847	266.89983976626246	266.89977815852376	266.02624649652876	1.373180597977308	0.2432980096891071	0.900695306131375	172.24998781426254	167.1368314709665	176.2978501100191	0.023577960057610585	0.03906643778635518	0.017918251349237465	0.032728727383258584	49.55906573600031	210.8028029309398	176.76366279414694	274.9433396889912	0.18169288817694854	0.03459723329299818	0.09242058595632358	0.0	1.3784045667856433	0.24458754872653826	0.9039813428106706	0.09476340477325314	0.051258618149248605	0.10703727672021955	0.04707001331757101	2.0330433590251933	0.023100325057992133	0.5259237061407777	266.0262496666517	1.1309827656890217	0.7451419753767321					0.725059292968963	0.04055673700443378	0.029509248209916336
8	fixed	3	14.25497949255014	0.0	14.25497949255014	169.77991746226127	169.4186075161233	2.74998948782786	0.0	0.0	0.0	93.83148632568364	169.97127475020426	92.59799266932541	1.3731102075213937	0.2091789746343094	0.9272412699183437	173.57900603891025	90.36364128764946	163.71519394061713	1.3563723938288719	0.2545294035621176	0.9373692696419287	0.14025445810890233	0.2004493785089642	0.16414827252598635	169.79710004695184	169.70472734063685	169.70463868944933	169.4190660727544	1.3594579838310283	0.2042318458105541	0.9166091951996687	9.794047781847055	80.55648330541878	144.72711123874637	0.027891447337772646	0.0361281986812247	0.018284977887818236	0.03182844223839503	43.294439866925366	172.88507345780525	146.84895698896662	215.41900751646654	1.0321041725832991	0.15083450383894098	0.7095114578810683	0.0								1.0488574692512183	0.026126658593598383	0.0								0.2609178331641466	0.03048869084589829	0.032864792967469525
8	laser	2	14.288690166235206	0.0	14.288690166235206	138.93423560684357	138.18982284913352	2.857142857142857	0.0	0.0	0.0	90.91372900969897	138.7481151636051	87.99209785344327	1.3658724953380716	0.26719389640826685	0.9076688607566126	173.3465474012567	88.39059563389542	158.22750620658252	1.350345013109844	0.30449459382732563	0.9160328328195778	0.16018770723877865	0.19105741753607142	0.17751422662000926	138.7484953196279	138.29397492077882	138.29387183051296	138.18971207719912	1.3358677620174213	0.2649360245974424	0.8871047361483325	0.0	0.0	0.0	0.02924800759909993	0.04977914339961556	0.007539909202242507	0.04075873246976244	45.10658247499958	173.3465474012567	88.39059563389542	158.22750620658252	0.07302905177685708	0.015493381068113243	0.06292837615992487	0.0								0.5397191089612207	0.03026449430970802	0.0								0.03037539191883396	0.03436426696852434	0.040512526970334854
8	object	4	14.577379737113251	0.0	14.577379737113251	221.8240160458631	220.79164918358742	2.901442287369986	0.0	0.0	0.0	90.91372900969897	221.4335184260915	90.1205687689522	1.3702213668293728	0.2648225478788791	0.9041732251359215	173.6350559224243	87.77024919961913	160.83072695618856	1.354345885551703	0.30367937977641446	0.9141494236705197	0.15883247029833486	0.19479089611327383	0.1779823129534081	221.26779577679608	221.10600892693085	221.1061966897292	220.79164129297374	1.3610732468542852	0.262809084312983	0.8978196874183184	169.0334804538695	93.23041080331245	175.8229019112745	0.01708097197995477	0.02344572364907024	0.015520858903542463	0.0237818871366682	9.245707282462842	229.4482920700914	40.78190898559361	245.19830196454794	0.13348103900716018	0.03037436496909044	0.10257301941273499	0.0	1.3484030879770998	0.3001784095424505	0.9057656601678697	0.018692544766962527	0.026973263929502715	0.017688859621311063	0.02554447602275574	1.7871184947045726	0.0167877690819809	0.9570362413968131	220.9384406560054	1.0344717688289287	0.690474051061165					0.6745785350898236	0.027838992852303623	0.019137010146076123
9	cube	4	14.888372522328838	0.0	14.888372522328838	221.23305316020952	220.12770275305363	2.7979068655483923	0.0	0.0	0.0	114.41551070947108	220.53675679226728	120.9759761315454	1.2256943806868406	0.27809197341809544	1.1155061356585376	165.75304996363022	51.48751905048108	148.8872410598762	1.2210451079296951	0.1657269513830573	1.1209934960673964	0.27475172442588963	0.28092555160297245	0.24263748832977106	220.49739180660342	220.4934891718845	220.49344356138326	220.12778387588745	1.2297482311349706	0.2805216469017547	1.121049657685324	178.93418318747976	176.83859346139886	174.06461010669977	0.012184602674538204	0.018931852719475697	0.01293419247193307	0.02005283091962103	38.679451830620586	270.44659080236437	189.98548766035347	267.2118314897714	0.7129938353984372	0.09072094487959471	0.713306216045701	0.0	1.2320184450902913	0.2806105267179876	1.1218907625161632	0.1241064564598075	0.037841617941457954	0.1420435915061879	0.02529669549925085	1.6047204396008434	0.01355448110003017	1.0313274764284928	220.1151201623422	0.8884654539326526	0.8445917347833719					0.567722015827148	0.02106189590356303	0.013768566877881918
9	fixed	2	15.034808098058807	0.0	15.034808098058807	205.92015944068376	203.88631207190838	2.7979068655483923	0.0	0.0	0.0	114.41551070947108	204.93269610760356	113.92863805124044	1.2256943806868408	0.27809197341809544	1.1155061356585374	165.75304996363016	51.48751905048109	148.8872410598762	1.221045107929695	0.16572695138305732	1.1209934960673964	0.2747517244258896	0.2809255516029725	0.24263748832977106	204.8950377002906	204.56575867754268	204.5653900435546	203.8866393377469	1.229556648954613	0.2772896288665781	1.123948296928332	10.16500336453453	107.11599710167171	52.022257154731314	0.014082935893872028	0.021984037220725002	0.015848458058923414	0.01948476810985826	36.16286417876666	168.28254391305762	132.25309616682796	149.71795500926513	0.8884558399779053	0.23957730105507977	0.8523576322565498	0.0								1.4876691657303855	0.016154572241132214	0.14907119849998596								0.3517444333968188	0.022317347158249307	0.015592492338826518
9	laser	3	15.303825361884876	0.0	15.303825361884876	181.0358800254508	180.63642086272154	2.797906865548392	0.0	0.0	0.0	114.41551070947109	180.73802905394504	115.35307292098247	1.2256943806868406	0.27809197341809544	1.1155061356585372	165.75304996363016	51.4875190504811	148.88724105987623	1.221045107929695	0.16572695138305726	1.1209934960673964	0.27475172442588963	0.2809255516029725	0.24263748832977108	180.70274493922605	180.6952163963967	180.6951693105764	180.63583137481757	1.2198544599779593	0.2796639532877311	1.1191784441842343	0.0	0.0	0.0	0.02504547457987796	0.037291266235574855	0.012370278545405074	0.027021408218972667	38.467068751274944	165.75304996363016	51.4875190504811	148.88724105987623	0.1556605607939074	0.014940685696743934	0.13918699139154964	0.0								1.005355605221107	0.026490076766284926	0.0								0.026656229396304732	0.03288957607496498	0.027482525496461133
