"x","predicted","std.error","conf.low","conf.high","group"
"object",0.0367462106408754,0.00307151975021002,0.0307261425526603,0.0427662787290905,"1"
"cube",0.0495569091311351,0.00397432500128819,0.0417673752657532,0.0573464429965171,"1"
"fixed",0.0529995240350355,0.00587654155926216,0.0414817142252288,0.0645173338448422,"1"
"laser",0.0586216178305036,0.00460688678308419,0.049592285654805,0.0676509500062022,"1"
