experiment	ppid	session_num	trial_num	block_num	trial_num_in_block	start_time	end_time	trial_no	scene	target	response_mode	shift_x	shift_y	shift_z	view_rotation	preview_label	t_starting_pos	standing_y_rotation	target_label	target_pos_x	target_pos_y	target_pos_z	target_euler_x	target_euler_y	target_euler_z	target_bbox_center_x	target_bbox_center_y	target_bbox_center_z	target_bbox_size_x	target_bbox_size_y	target_bbox_size_z	t_scene_preview_start	t_scene_preview_end	t_response_start	t_response_end	response_pos_x_pivot	response_pos_y_pivot	response_pos_z_pivot	response_euler_x	response_euler_y	response_euler_z	tar_error_pos	tar_error_pos_x	tar_error_pos_y	tar_error_pos_z	tar_error_angle	tar_error_euler_x	tar_error_euler_y	tar_error_euler_z	standing_pos_x	standing_pos_y	standing_pos_z	VR_move_location_0	Eye_gaze_location_0	trial_valid	invalid_reason	response_bbox_center_x	response_bbox_center_y	response_bbox_center_z	tar_error_bbox	tar_error_bbox_x	tar_error_bbox_y	tar_error_bbox_z	response_duration	tar_error_surf	trial_status	drop_count	last_drop_time	last_drop_x	last_drop_z	drop1_err_pos	drop2_err_pos	drop3_err_pos	drop4_err_pos	move_dist	tar_error_right_left	tar_error_away_toward
Pilot_Kitchen_laser	9	3	11	1	11	222.6447	235.3397	3	K01	K01_L16	laser	0	0	0	90	Flowers	227.4761	89.78017	flowers	1.069949	0.867997	0.834195	0.462501	110.9224	358.712	1.072386	1.089711	0.836063	0.476981	0.447812	0.470179	227.9869	229.0309	231.0414	234.3177	1.042643	0.892787	0.835641	0.0	0.0	0.0	0.036909	-0.027305	0.02479	0.001446	110.9332	-0.462501	-110.9224	-358.712	0.185553	1.574615	0.040152	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T011.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T011.csv	1	valid								3.276299999999992	0.027344259946102085	valid	0.0								0.06502428975455127	-0.001446	-0.027305
Pilot_Kitchen_laser	9	3	12	1	12	236.3502	249.0117	7	K01	K01_L15	laser	0	0	0	270	Water Bottle	240.1487	269.3726	waterbottle	-1.392051	0.883097	-1.231805	0.516519	199.2043	358.5333	-1.400844	0.984469	-1.230697	0.092938	0.203459	0.086649	240.6595	241.5925	243.603	247.99	-1.360028	0.886198	-1.249001	0.0	0.0	0.0	0.03648	0.032023	0.003101	-0.017196	160.7909	-0.516519	-199.2043	-358.5333	-0.180812	1.57857	-0.021855	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T012.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T012.csv	1	valid								4.3870000000000005	0.03634797030096721	valid	0.0								0.09262202412640187	-0.017196	-0.032023
Pilot_Kitchen_laser	9	3	13	1	13	250.0224	261.6511	4	K01	K01_L09	laser	0	0	0	90	Plate	254.1653	90.07098	tablesetting	1.346949	0.883812	0.447195	1.149957	175.9449	2.014389	1.376723	0.896645	0.467217	0.431217	0.056127	0.360425	254.6761	255.7313	257.7416	260.6294	1.288976	0.872628	0.431128	0.0	0.0	0.0	0.061188	-0.057972	-0.011184	-0.016067	175.9255	-1.149957	-175.9449	-2.014389	0.175709	1.579256	-0.003591	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T013.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T013.csv	1	valid								2.88779999999997	0.060158268076798936	valid	0.0								0.04931725568037365	0.016067	-0.057972
Pilot_Kitchen_laser	9	3	14	1	14	262.6618	272.0358	4	K01	K01_L09	laser	0	0	0	90	Plate	264.5277	89.30515	tablesetting	1.346949	0.883812	0.447195	1.149957	175.9449	2.014389	1.376723	0.896645	0.467217	0.431217	0.056127	0.360425	265.0385	266.3825	268.393	271.0142	1.342514	0.871108	0.456958	0.0	0.0	0.0	0.016624	-0.004435	-0.012703	0.009762	175.9255	-1.149957	-175.9449	-2.014389	0.19623	1.584822	0.00778	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T014.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T014.csv	1	valid								2.6212000000000444	0.01072312426487724	valid	0.0								0.029772150120834416	-0.009762	-0.004435
Pilot_Kitchen_laser	9	3	15	1	15	273.0466	284.6086	8	K01	K01_L13	laser	0	0	0	0	Cutting Board	277.5113	356.9562	cuttingboard	-1.437559	0.891825	1.196799	272.964	60.09008	300.075	-1.436887	0.906805	1.197186	0.245887	0.05029	0.364747	278.0223	279.2662	281.2766	283.5868	-1.545769	0.886196	1.22619	0.0	0.0	0.0	0.112272	-0.10821	-0.005628	0.029391	88.54763	-272.964	-60.09008	-300.075	-0.032673	1.577781	0.199811	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T015.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T015.csv	1	valid								2.310200000000009	0.11213043735311112	valid	0.0								0.09977070165482002	-0.10821	0.029391
Pilot_Kitchen_laser	9	3	16	1	16	285.6191	300.291	7	K01	K01_L15	laser	0	0	0	270	Water Bottle	289.5287	265.2531	waterbottle	-1.392051	0.883097	-1.231805	0.516519	199.2043	358.5333	-1.400844	0.984469	-1.230697	0.092938	0.203459	0.086649	290.0395	291.1503	293.1608	299.2692	-1.401075	0.886198	-1.31717	0.0	0.0	0.0	0.085897	-0.009024	0.003101	-0.085365	160.7909	-0.516519	-199.2043	-358.5333	-0.214366	1.581575	0.003677	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T016.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T016.csv	1	valid								6.108400000000017	0.08584064189531662	valid	0.0								0.0525942483801444	-0.085365	0.009024
Pilot_Kitchen_laser	9	3	18	1	18	312.786	323.8925	5	K01	K01_L04	laser	0	0	0	0	Breadbasket	315.707	357.2991	bunsinbasket	-1.087051	0.883797	1.18928	0.60304	67.68452	1.555164	-1.088983	0.950319	1.190754	0.301863	0.325402	0.296634	316.2177	317.3619	319.3721	322.8708	-1.131515	0.886198	1.186722	0.0	0.0	0.0	0.044602	-0.044464	0.002401	-0.002558	67.69444	-0.60304	-67.68452	-1.555164	0.03955	1.580432	0.194402	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T018.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T018.csv	1	valid								3.4986999999999853	0.04453751968846048	valid	0.0								0.06688003698909753	-0.044464	-0.002558
Pilot_Kitchen_laser	9	3	19	1	19	324.9031	336.4986	3	K01	K01_L16	laser	0	0	0	90	Flowers	327.9687	91.70384	flowers	1.069949	0.867997	0.834195	0.462501	110.9224	358.712	1.072386	1.089711	0.836063	0.476981	0.447812	0.470179	328.4795	329.768	331.7783	335.4767	1.04693	0.892805	0.843261	0.0	0.0	0.0	0.035035	-0.023018	0.024808	0.009065	110.9332	-0.462501	-110.9224	-358.712	0.218497	1.575457	0.031003	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T019.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T019.csv	1	valid								3.6983999999999924	0.024739982154399504	valid	0.0								0.053961021647747465	-0.009065	-0.023018
Pilot_Kitchen_laser	9	3	20	1	20	337.5092	347.1053	1	K01	K01_L05	laser	0	0	0	180	Plant	340.8523	179.6176	plant	0.740949	0.010997	-1.475805	357.0071	116.5166	356.3118	0.689599	0.494938	-1.514348	1.09479	0.991716	0.990528	341.3635	342.2407	344.251	346.0837	0.756664	0.00527	-1.452289	0.0	0.0	0.0	0.028857	0.015715	-0.005727	0.023515	116.4812	-357.0071	-116.5166	-356.3118	0.041137	1.566143	-0.20159	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T020.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T020.csv	1	valid								1.8327000000000453	0.028283625669280898	valid	0.0								0.027762061601982906	-0.015715	-0.023515
Pilot_Kitchen_laser	9	3	21	1	21	348.1161	359.0118	8	K01	K01_L13	laser	0	0	0	0	Cutting Board	352.0366	0.311214	cuttingboard	-1.437559	0.891825	1.196799	272.964	60.09008	300.075	-1.436887	0.906805	1.197186	0.245887	0.05029	0.364747	352.5476	353.5917	355.6019	357.9899	-1.508625	0.886196	1.196962	0.0	0.0	0.0	0.071288	-0.071065	-0.005628	0.000163	88.54763	-272.964	-60.09008	-300.075	-0.055536	1.575677	0.175467	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T021.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T021.csv	1	valid								2.387999999999977	0.07106618693162037	valid	0.0								0.07700660550494613	-0.071065	0.000163
