experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Office_laser,7,4,11,1,11,320.0765,329.6503,7,O02,O02_L18,laser,0,0,0,180,Helicopter,322.7865,179.9177,helicopter,0.582935,0.518954,-1.327039,0,339.398,0,0.527807,0.624263,-1.343417,0.599171,0.211206,0.5392,323.2973,324.7634,326.7738,328.6286,0.60186,0.51967,-1.254335,0,0,0,0.07513,0.018925,0.000716,0.072704,20.60202,0,-339.398,0,0.093861,1.483296,-0.275811,Pilot_Office_laser/7/S004/trackers/VR_move_T011.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T011.csv
Pilot_Office_laser,7,4,12,1,12,330.6611,339.9573,10,O02,O02_L06,laser,0,0,0,270,Lamp,332.8491,275.4131,desklamp,-1.794875,0.765892,0.397152,355.5128,118.53,358.3776,-1.759872,1.074492,0.504581,0.517692,0.639956,0.658181,333.3599,334.7261,336.7365,338.9355,-1.751381,0.774282,0.36769,0,0,0,0.053199,0.043494,0.00839,-0.029463,118.5256,-355.5128,-118.53,-358.3776,-0.243577,1.520048,0.038474,Pilot_Office_laser/7/S004/trackers/VR_move_T012.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T012.csv
Pilot_Office_laser,7,4,13,1,13,340.9679,350.4973,3,O02,O02_L01,laser,0,0,0,180,Sushi,343.2338,183.2678,sushi,0.024424,0.523493,-1.377002,359.1866,216.5073,358.2385,0.023787,0.554909,-1.37584,0.503964,0.185142,0.504825,343.7445,345.4442,347.4543,349.4757,0.023297,0.528373,-1.347555,0,0,0,0.02987,-0.001127,0.00488,0.029447,143.5106,-359.1866,-216.5073,-358.2385,0.047249,1.494538,-0.274247,Pilot_Office_laser/7/S004/trackers/VR_move_T013.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T013.csv
Pilot_Office_laser,7,4,14,1,14,351.508,360.9821,7,O02,O02_L18,laser,0,0,0,180,Helicopter,353.6628,183.9024,helicopter,0.582935,0.518954,-1.327039,0,339.398,0,0.527807,0.624263,-1.343417,0.599171,0.211206,0.5392,354.1736,355.7287,357.7389,359.9603,0.607118,0.51967,-1.255276,0,0,0,0.075731,0.024182,0.000716,0.071763,20.60202,0,-339.398,0,0.000505,1.491796,-0.278575,Pilot_Office_laser/7/S004/trackers/VR_move_T014.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T014.csv
Pilot_Office_laser,7,4,15,1,15,361.9927,370.2672,7,O02,O02_L18,laser,0,0,0,180,Helicopter,364.0141,180.8737,helicopter,0.582935,0.518954,-1.327039,0,339.398,0,0.527807,0.624263,-1.343417,0.599171,0.211206,0.5392,364.5251,366.0023,368.0126,369.2454,0.590381,0.528374,-1.285868,0,0,0,0.042886,0.007446,0.009419,0.041171,20.60202,0,-339.398,0,0.023835,1.499369,-0.258149,Pilot_Office_laser/7/S004/trackers/VR_move_T015.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T015.csv
Pilot_Office_laser,7,4,16,1,16,371.2779,379.0746,1,O02,O02_L26,laser,0,0,0,180,Footstool,372.7107,177.5929,cushion,1.038984,0.001137,-0.711692,1.254726,143.4689,0.540435,1.041459,0.121186,-0.71313,0.77365,0.257415,0.774065,373.2215,374.3211,376.3315,378.0529,1.054619,0.002273,-0.716279,0,0,0,0.016334,0.015635,0.001136,-0.004588,143.4657,-1.254726,-143.4689,-0.540435,0.070642,1.485597,-0.163532,Pilot_Office_laser/7/S004/trackers/VR_move_T016.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T016.csv
Pilot_Office_laser,7,4,17,1,17,380.0855,394.5352,4,O02,O02_L09,laser,0,0,0,90,Flowers,385.0169,93.90934,flowers,1.650739,0.758584,0.010883,359.0852,152.7474,2.739967,1.662761,1.086827,-0.027271,0.470968,0.663228,0.589821,385.5276,387.127,389.1374,393.5134,1.644009,0.742274,0.008345,0,0,0,0.017826,-0.00673,-0.016311,-0.002538,152.7781,-359.0852,-152.7474,-2.739967,0.95802,1.49082,0.05494,Pilot_Office_laser/7/S004/trackers/VR_move_T017.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T017.csv
Pilot_Office_laser,7,4,18,1,18,395.5458,404.8754,8,O02,O02_L15,laser,0,0,0,90,Clock,397.7894,96.96021,tableclock,1.717249,0.741288,-0.381913,356.9992,269.6479,0.111573,1.697608,0.916266,-0.380892,0.237385,0.358919,0.224152,398.3002,399.1665,401.1769,403.8536,1.682071,0.742274,-0.380077,0,0,0,0.03524,-0.035179,0.000986,0.001835,90.38825,-356.9992,-269.6479,-0.111573,0.900987,1.498589,-0.147375,Pilot_Office_laser/7/S004/trackers/VR_move_T018.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T018.csv
Pilot_Office_laser,7,4,19,1,19,405.886,415.9153,4,O02,O02_L09,laser,0,0,0,90,Flowers,408.4073,94.97226,flowers,1.650739,0.758584,0.010883,359.0852,152.7474,2.739967,1.662761,1.086827,-0.027271,0.470968,0.663228,0.589821,408.9181,410.1622,412.1724,414.8935,1.64277,0.742274,-0.003615,0,0,0,0.023232,-0.007969,-0.016311,-0.014498,152.7781,-359.0852,-152.7474,-2.739967,0.84151,1.503385,0.044179,Pilot_Office_laser/7/S004/trackers/VR_move_T019.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T019.csv
Pilot_Office_laser,7,4,20,1,20,416.9259,427.533,5,O02,O02_L11,laser,0,0,0,270,Cookies,419.8581,274.2484,cookies,-1.527065,0.775583,0.496761,0,36.522,0,-1.527065,0.793719,0.496761,0.274797,0.07267,0.274796,420.369,422.1019,424.1121,426.5113,-1.531498,0.776844,0.502755,0,0,0,0.007561,-0.004433,0.001261,0.005994,36.52199,0,-36.522,0,-0.69314,1.504826,0.093118,Pilot_Office_laser/7/S004/trackers/VR_move_T020.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T020.csv
